bucket,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,20000,30000,40000,60000,80000,100000,130000,170000,220000,280000,350000,430000,520000,658032
0,0.1514445582253099,0.1921619648217885,0.2206677084350236,0.19934274472880362,0.2074693474039432,0.227914280610678,0.16713355963665033,0.18287818373832573,0.17125776421509134,0.22109481752318522,0.204988909851611,0.17479870677395581,0.17031569284924494,0.2358580295005236,0.17716621293371212,0.1978534604885253,0.21023204899807207,0.19892999047081386,0.16126769395245602,0.17955921113758425,0.17641996070764834,0.16481823858368336,0.14776978685258696,0.1683674008554927,0.16024585159986196
1,0.10933720644256416,0.22898075956631675,0.18402991622138573,0.20529554951660453,0.21204977176557,0.1873053919417798,0.19313456428639728,0.18699304053180327,0.1520026441651143,0.19193179694150078,0.19309708317422916,0.17240064825773463,0.15199128457886477,0.19909839828074427,0.13485140568116682,0.20101302588070646,0.17369396927359765,0.1655485486192677,0.14911083325729335,0.1538770859719815,0.1540613834603664,0.14861492362462986,0.16553181413359852,0.1727369714363395,0.14384721173539744
2,0.10010434110765472,0.17734864199675704,0.22006762681851696,0.20257194937076214,0.20470072401488673,0.204283771808327,0.1826906003774999,0.18475138618564865,0.15968357947386272,0.2160914155608939,0.20664176205643622,0.16751504733984826,0.1672717438185512,0.20055934044734325,0.10907910708338722,0.16270644600672243,0.11768923769308666,0.13103616946654678,0.1457832160143642,0.12130454683390071,0.1305343073844764,0.08957081481501991,0.12569963029789677,0.08864087173388303,0.11074193804872531
3-4,0.13782891578591416,0.226365298753643,0.21382235922987786,0.2401752518067826,0.23505562503232805,0.22306334373347567,0.18782483168981803,0.1751972064094476,0.19569760734624322,0.22475548925516117,0.20289667311726953,0.14539185319210773,0.14666915318966783,0.18737749962610536,0.12355600220047944,0.1553328901069512,0.12897789817737407,0.12279210506359918,0.1555965088496597,0.11742282730547558,0.1278952264948404,0.10148181767556437,0.11217235072138705,0.11166813044876187,0.06314979239138628
5-7,0.11227114872615346,0.24606152921612057,0.1923330689403899,0.21993887879491764,0.21143444100613756,0.18730166752143373,0.19954424236350654,0.15605880888702375,0.1934596984346535,0.20959754290515725,0.19513440813801589,0.13303508970453193,0.11774003613791881,0.17411431827257023,0.11331397153690151,0.11146113629549997,0.08921072746359004,0.09928319875427152,0.109590628590631,0.08536644022386615,0.07395258947017404,0.09303643748094133,0.0858284659478692,0.08060996295337251,0.044368186193593936
8-13,0.11346008696608577,0.18680278148436058,0.16969529200096617,0.1564853189143706,0.14555838341523877,0.14148416004434475,0.13259901361857668,0.10674206327210152,0.09669537761278976,0.11074191542769898,0.08736141532360413,0.08496616403482266,0.03830198250448438,0.06399873033636932,0.08616595509097366,0.07567546910504082,0.02724576611187269,0.05564460380460437,0.06563313085294403,0.08947861557116363,0.03274989869637074,0.0541011638098069,0.04677034034737108,0.07632074774517866,0.07501332806169715
14-25,0.13612490011183975,0.1951231996966741,0.14271126857733035,0.09677158656461762,0.1552031758573356,0.10822694540464929,0.09091715976196027,0.06076181881775258,0.11511329576953978,0.060729140040107696,0.09764990928966198,0.057757572130728976,0.08567444524023879,0.08646058497600105,0.03976518126615751,0.0427506758661245,0.043666213743076755,0.0729809026640719,0.05550308358548497,0.06911873172413852,0.04992074590776413,0.04997738583705269,0.02270709304466178,0.0740286001916033,0.06772626381587872
26-60,0.12875275155331933,0.17666638372898444,0.17269211554443625,0.1469578774321618,0.12411557344259282,0.1068984656809393,0.10859947328720904,0.10333438835908267,0.07753075839255918,0.08026087483160751,0.07666768266651712,0.055627543190745005,0.04510621669270923,0.03215817661198836,0.07080426641317765,0.059191516921567267,0.04677090359890458,0.04495923202498325,0.0685242893145201,0.034747062049742525,0.05417086140814116,0.038955914290704705,0.041976566284706016,0.06175293003651117,0.08672654600383196
61-200,0.1541819339301444,0.14559803090217896,0.1300187393353032,0.08091830387489576,0.0649383189467229,0.03724126513491115,0.06359108000610299,0.05932451884247683,0.0315744034137385,0.04459289829254943,0.04658098149218734,0.07187894485128256,0.07513022698230237,0.0769545158610897,0.12538668807293674,0.07624844301387176,0.12365005417871408,0.10191184522852265,0.05823369455213734,0.13398821819377155,0.1140923809493051,0.1257423080608908,0.11925154316558173,0.14494838755201528,0.1331038895164415
200+,0.15621556128662206,0.06698228831017547,0.06635754136613459,0.06562733130298276,0.0632980181185067,0.08982938737398481,0.09732102492477565,0.06594121700463206,0.08917234398112267,0.08433305076377648,0.10658641159761106,0.08417613004847979,0.09687580385366766,0.10948966075776406,0.11258524551017224,0.08047465295197384,0.09306172483491121,0.09812532477399177,0.08304630930348304,0.07594139035709248,0.08963608838849414,0.07495534975636996,0.07696649220079757,0.08112621568510418,0.08771316968900168
