step,acc_norm,conf_norm
0,0.08653524891413297,0.2157520901257871
1000,0.21683929168058805,0.39290602154342746
2000,0.23955897093217507,0.3976864224390664
3000,0.25659873037086534,0.4021818156427646
4000,0.25492816572001337,0.4044862625902603
5000,0.25993985967256933,0.3869430389824953
6000,0.28733711994654193,0.4035816635132273
7000,0.29769462078182424,0.40576251408695113
8000,0.3093885733377882,0.4073349601823592
9000,0.300033411293017,0.4214253682312573
10000,0.29769462078182424,0.41153824697622915
20000,0.32843301035750083,0.407907789387728
30000,0.33511526896090876,0.40699635568877884
40000,0.32776478449716007,0.4248776989905166
60000,0.35315736719011026,0.3967668778130173
80000,0.33711994654193117,0.4146160574990078
100000,0.35115268960908785,0.4007864931356355
130000,0.35549615770130305,0.41501136336656697
170000,0.35783494821249584,0.41947772323290855
220000,0.3748747076511861,0.4152758286036418
280000,0.36719011025726694,0.40649528415498976
350000,0.3732041430003341,0.41253907924982275
430000,0.3618443033745406,0.40421511910043934
520000,0.3889074507183428,0.40942946881367887
658032,0.4042766455061811,0.4136744138187747
