,bucket,model_prior,corpus_prior
0,0,0.4980418865996935,0.3638685509960838
1,1,0.5277582572030921,0.3424104005621926
2,2,0.5551098709452389,0.38978025810952216
3,3-4,0.5541290770298404,0.38688410825815406
4,5-7,0.5655123170296322,0.423420207068904
5,8-13,0.5463018044814595,0.35018837993257984
6,14-25,0.5339563862928349,0.39792315680166146
7,26-60,0.48732517482517484,0.354020979020979
8,61-200,0.4411683659410306,0.3403141361256545
9,200+,0.35710620831195483,0.297588506926629
