,acc,bal_acc,prec,rec,f1,auc,ap
majority class,0.8639365918097754,0.5,0.8639365918097754,1.0,0.9270021261516654,0.5,0.8639365918097754
frequency only,0.904887714663144,0.7241026097799947,0.9217391304347826,0.9724770642201835,0.9464285714285714,0.7842032599982186,0.935901949983976
confidence only,0.9035667107001321,0.7683263561058163,0.9355322338830585,0.9541284403669725,0.9447388342165026,0.8682936967429709,0.9742927845015774
ours (both),0.9062087186261559,0.7289569787120336,0.9230769230769231,0.9724770642201835,0.9471332836932241,0.8518304088358422,0.9630351662644557
